epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3228.84,0.97334,2.06352,1.12436,0.55479,0.3729,0.4169,0.32555,0.87371,1.54455,1.05223,0.067,3.3033e-05,3.3033e-05
2,10509.4,0.81911,1.20411,1.03196,0.69922,0.43214,0.51799,0.41556,0.70401,1.13339,0.94531,0.0336956,6.19424e-05,6.19424e-05
3,13915.5,0.75445,0.96206,0.98967,0.74448,0.55685,0.61455,0.49487,0.62245,0.82008,0.90132,0.000386708,8.64077e-05,8.64077e-05
4,17852.6,0.70199,0.83816,0.96885,0.76562,0.56881,0.63334,0.50895,0.60271,0.75216,0.89442,8.0002e-05,8.0002e-05,8.0002e-05
5,20069.6,0.6733,0.76081,0.94876,0.8103,0.59105,0.66174,0.53682,0.58494,0.70994,0.87866,7.3336e-05,7.3336e-05,7.3336e-05
6,21270.8,0.60106,0.64282,0.89731,0.85261,0.59426,0.68525,0.55546,0.57339,0.65857,0.86653,6.667e-05,6.667e-05,6.667e-05
7,22461.7,0.57634,0.60087,0.89098,0.84116,0.6153,0.69647,0.56493,0.55021,0.62134,0.8665,6.0004e-05,6.0004e-05,6.0004e-05
8,31180.3,0.55865,0.56789,0.88066,0.85692,0.61327,0.69842,0.57018,0.55221,0.61252,0.86294,5.3338e-05,5.3338e-05,5.3338e-05
9,32443.3,0.54525,0.5382,0.87239,0.83586,0.61726,0.70699,0.57915,0.53085,0.60247,0.85538,4.6672e-05,4.6672e-05,4.6672e-05
10,34098.7,0.52994,0.52748,0.86894,0.8503,0.63829,0.71689,0.58991,0.52804,0.56872,0.85181,4.0006e-05,4.0006e-05,4.0006e-05
11,36042.4,0.5211,0.49184,0.86231,0.85795,0.64499,0.71892,0.584,0.52146,0.56877,0.84963,3.334e-05,3.334e-05,3.334e-05
12,37959.8,0.50577,0.47869,0.85821,0.87632,0.64317,0.72641,0.59409,0.52594,0.5568,0.85147,2.6674e-05,2.6674e-05,2.6674e-05
13,39731.9,0.49521,0.4582,0.85452,0.90947,0.63096,0.72935,0.60372,0.50692,0.53441,0.84497,2.0008e-05,2.0008e-05,2.0008e-05
14,41690.2,0.48963,0.44541,0.85121,0.90615,0.63623,0.73214,0.60785,0.50395,0.53168,0.8404,1.3342e-05,1.3342e-05,1.3342e-05
15,43252.5,0.49282,0.44457,0.85416,0.8748,0.64397,0.73432,0.61038,0.50005,0.52571,0.83816,6.676e-06,6.676e-06,6.676e-06
